Mot,Cat.Gram,Fréquence,numbre de lettres,structure morpho,Condition
chapeau,N,4.36,7.0,0-1-0,réel_haut_long_simple
feuille,N,4.41,7.0,0-1-0,réel_haut_long_simple
collier,N,4.09,7.0,0-1-0,réel_haut_long_simple
serpent,N,4.02,7.0,0-1-0,réel_haut_long_simple
conseil,N,88.05620609,7.0,0-1-0,réel_haut_long_simple
liquide,N/Adj,71.8969555,7.0,0-1-0,réel_haut_long_simple
constat,N,82.43559719,7.0,0-1-0,réel_haut_long_simple
placide,Adj,73.53629977,7.0,0-1-0,réel_haut_long_simple
bourbon,N/Adj,91.10070258,7.0,0-1-0,réel_haut_long_simple
goudron,N,75.17564403,7.0,0-1-0,réel_haut_long_simple
chocolat,N,4.49,8.0,0-1-0,réel_haut_long_simple
assiette,N,4.07,8.0,0-1-0,réel_haut_long_simple
ceinture,N,4.27,8.0,0-1-0,réel_haut_long_simple
perruque,N,94.84777518,8.0,0-1-0,réel_haut_long_simple
phalange,N,90.16393443,8.0,0-1-0,réel_haut_long_simple
agricole,Adj,81.264637,8.0,0-1-0,réel_haut_long_simple
gourmand,Adj/N,71.66276347,8.0,0-1-0,réel_haut_long_simple
angoisse,N,71.19437939,8.0,0-1-0,réel_haut_long_simple
amalgame,N,75.6440281,8.0,0-1-0,réel_haut_long_simple
conquête,N,88.7587822,8.0,0-1-0,réel_haut_long_simple
zodiaque,N,92.97423888,8.0,0-1-0,réel_haut_long_simple
personne,N,93.91100703,8.0,0-1-0,réel_haut_long_simple
confetti,N,96.72131148,8.0,0-1-0,réel_haut_long_simple
immeuble,N,99.29742389,8.0,0-1-0,réel_haut_long_simple
perplexe,Adj,96.48711944,8.0,0-1-0,réel_haut_long_simple
gingembre,N,92.74004684,9.0,0-1-0,réel_haut_long_simple
acquiesça,V,89.22716628,9.0,0-1-0,réel_haut_long_simple
phénomène,N,88.99297424,9.0,0-1-0,réel_haut_long_simple
consensus,N,85.94847775,9.0,0-1-0,réel_haut_long_simple
séquestre,N/Adj,85.48009368,9.0,0-1-0,réel_haut_long_simple
bourgeron,N,84.77751756,9.0,0-1-0,réel_haut_long_simple
piédestal,N,84.54332553,9.0,0-1-0,réel_haut_long_simple
bourgogne,N/Adj,84.30913349,9.0,0-1-0,réel_haut_long_simple
léthargie,N,78.68852459,9.0,0-1-0,réel_haut_long_simple
pissenlit,N,78.22014052,9.0,0-1-0,réel_haut_long_simple
sollicite,V,74.00468384,9.0,0-1-0,réel_haut_long_simple
poussière,N,4.11,9.0,0-1-0,réel_haut_long_simple
manifeste,Adj/N,4.2,9.0,0-1-0,réel_haut_long_simple
préalable,Adj/N,4.14,9.0,0-1-0,réel_haut_long_simple
processus,N,4.79,9.0,0-1-0,réel_haut_long_simple
