Numéro,Mot,Cat.Gram,Fréquence,numbre de lettres,structure morpho,Condition,Nombre de lettres,orthographic neighborhood,Unnamed: 4,Numéro.1,Mot.1,Nombre de lettres.1,orthographic neighborhood.1
13,confetti,N,96.72131148,8.0,0-1-0,réel_haut_long_simple,,,,,,,
14,immeuble,N,99.29742389,8.0,0-1-0,réel_haut_long_simple,,,,,,,
15,perplexe,Adj,96.48711944,8.0,0-1-0,réel_haut_long_simple,,,,,,,
1,gingembre,N,92.74004684,9.0,0-1-0,réel_haut_long_simple,,,,,,,
2,acquiesça,V,89.22716628,9.0,0-1-0,réel_haut_long_simple,,,,,,,
3,phénomène,N,88.99297424,9.0,0-1-0,réel_haut_long_simple,,,,,,,
4,consensus,N,85.94847775,9.0,0-1-0,réel_haut_long_simple,,,,,,,
5,séquestre,N/Adj,85.48009368,9.0,0-1-0,réel_haut_long_simple,,,,,,,
6,bourgeron,N,84.77751756,9.0,0-1-0,réel_haut_long_simple,,,,,,,
7,piédestal,N,84.54332553,9.0,0-1-0,réel_haut_long_simple,,,,,,,
8,bourgogne,N/Adj,84.30913349,9.0,0-1-0,réel_haut_long_simple,,,,,,,
9,léthargie,N,78.68852459,9.0,0-1-0,réel_haut_long_simple,,,,,,,
10,pissenlit,N,78.22014052,9.0,0-1-0,réel_haut_long_simple,,,,,,,
11,sollicite,V,74.00468384,9.0,0-1-0,réel_haut_long_simple,,,,,,,
12,poussière,N,4.11,9.0,0-1-0,réel_haut_long_simple,,,,,,,
13,manifeste,Adj/N,4.2,9.0,0-1-0,réel_haut_long_simple,,,,,,,
14,préalable,Adj/N,4.14,9.0,0-1-0,réel_haut_long_simple,,,,,,,
15,processus,N,4.79,9.0,0-1-0,réel_haut_long_simple,,,,,,,
1,portail,N,4.14,7.0,0-1-1,réel_haut_long_complexe,,,,,,,
2,étoiles,N,4.59,7.0,0-1-1,réel_haut_long_complexe,,,,,,,
3,légumes,N,4.27,7.0,0-1-1,réel_haut_long_complexe,,,,,,,
4,poignée,N,4.13,7.0,0-1-1,réel_haut_long_complexe,,,,,,,
5,billets,N,4.48,7.0,0-1-1,réel_haut_long_complexe,,,,,,,
6,clients,N,4.83,7.0,0-1-1,réel_haut_long_complexe,,,,,,,
7,naturel,Adj,4.72,7.0,0-1-1,réel_haut_long_complexe,,,,,,,
8,inconnu,Adj,4.38,7.0,1-1-0,réel_haut_long_complexe,,,,,,,
