Pseudoword,Word,Lemma,prs,n_morphemes,Length
lobe,robe,robe,"(0, 1, 0)",1,4
lixe,rixe,rixe,"(0, 1, 0)",1,4
lite,rite,rite,"(0, 1, 0)",1,4
ngât,mât,mât,"(0, 1, 0)",1,4
gnat,mat,mate,"(0, 1, 0)",1,4
mals,mars,mars,"(0, 1, 0)",1,4
malc,marc,marc,"(0, 1, 0)",1,4
broc,bloc,bloc,"(0, 1, 0)",1,4
blew,bleu,bleu,"(0, 1, 0)",1,4
bred,bled,bled,"(0, 1, 0)",1,4
pire,pile,pile,"(0, 1, 0)",1,4
péli,péri,périr,"(0, 1, 0)",1,4
rhwm,rhum,rhum,"(0, 1, 0)",1,4
méro,mélo,mélo,"(0, 1, 0)",1,4
gnec,mec,mec,"(0, 1, 0)",1,4
rogo,logo,logo,"(0, 1, 0)",1,4
sayt,saut,saut,"(0, 1, 0)",1,4
sawf,sauf,sauf,"(0, 1, 0)",1,4
samg,sang,sang,"(0, 1, 0)",1,4
ryre,lyre,lyre,"(0, 1, 0)",1,4
rynx,lynx,lynx,"(0, 1, 0)",1,4
ruth,luth,luth,"(0, 1, 0)",1,4
lyne,lune,lune,"(0, 1, 0)",1,4
lyge,luge,luge,"(0, 1, 0)",1,4
bowt,bout,bout,"(0, 1, 0)",1,4
bowm,boum,boum,"(0, 1, 0)",1,4
bowe,boue,boue,"(0, 1, 0)",1,4
bowc,bouc,bouc,"(0, 1, 0)",1,4
bold,bord,bord,"(0, 1, 0)",1,4
bomd,bond,bond,"(0, 1, 0)",1,4
naïs,maïs,maïs,"(0, 1, 0)",1,4
leul,leur,leur,"(0, 1, 0)",1,4
