Word,Root,Wordlength,Structure,Lexicality,Length,Frequency,Morphological Complexity,Zipf Frequency,Condition
préalable,,9,r,real,long,high,simple,4.14,RLHS
barricade,,9,r,real,long,low,simple,3.02,RLLS
harmonica,,9,r,real,long,low,simple,2.93,RLLS
hécatombe,,9,r,real,long,low,simple,2.92,RLLS
primevère,,9,r,real,long,low,simple,2.13,RLLS
privilège,,9,r,real,long,medium,simple,4.0,RLHS
processus,,9,r,real,long,high,simple,4.79,RLHS
blasphème,,9,r,real,long,low,simple,3.37,RLLS
protocole,,9,r,real,long,high,simple,4.16,RLHS
horoscope,,9,r,real,long,low,simple,3.13,RLLS
couvercle,,9,r,real,long,medium,simple,3.53,RLHS
hurricane,,9,r,real,long,low,simple,2.58,RLLS
catalogue,,9,r,real,long,high,simple,4.29,RLHS
nostalgie,,9,r,real,long,medium,simple,3.86,RLHS
bulldozer,,9,r,real,long,low,simple,2.88,RLLS
crocodile,,9,r,real,long,low,simple,3.44,RLLS
chirurgie,,9,r,real,long,high,simple,4.14,RLHS
orchestre,,9,r,real,long,high,simple,4.18,RLHS
cacahuète,,9,r,real,long,low,simple,3.15,RLLS
cachemire,,9,r,real,long,low,simple,3.3,RLLS
pantoufle,,9,r,real,long,low,simple,2.69,RLLS
kangourou,,9,r,real,long,low,simple,3.08,RLLS
alligator,,9,r,real,long,low,simple,2.85,RLLS
langouste,,9,r,real,long,low,simple,2.51,RLLS
rossignol,,9,r,real,long,low,simple,3.37,RLLS
leitmotiv,,9,r,real,long,low,simple,2.95,RLLS
camembert,,9,r,real,long,low,simple,3.03,RLLS
pharmacie,,9,r,real,long,high,simple,4.01,RLHS
avalanche,,9,r,real,long,medium,simple,3.52,RLHS
sarabande,,9,r,real,long,low,simple,2.27,RLLS
libellule,,9,r,real,long,low,simple,2.78,RLLS
satellite,,9,r,real,long,high,simple,4.08,RLHS
difficile,,9,r,real,long,high,simple,5.17,RLHS
dinosaure,,9,r,real,long,low,simple,3.45,RLLS
diplomate,,9,r,real,long,medium,simple,3.76,RLHS
ambassade,,9,r,real,long,high,simple,4.14,RLHS
magnanime,,9,r,real,long,low,simple,2.69,RLLS
magouille,,9,r,real,long,low,simple,2.86,RLLS
