Pseudoword,Word,Lemma,Levenshtein_Distance,prs,n_morphemes,Length
pwits,puits,puits,7,"(0, 1, 0)",1,5
ramci,ranci,rancir,6,"(0, 1, 0)",1,5
lampa,rampa,ramper,7,"(0, 1, 0)",1,5
lafle,rafle,rafler,7,"(0, 1, 0)",1,5
lacla,racla,racler,7,"(0, 1, 0)",1,5
qyête,quête,quête,7,"(0, 1, 0)",1,5
pwrge,purge,purge,7,"(0, 1, 0)",1,5
baljo,barjo,barjo,4,"(0, 1, 0)",1,5
balil,baril,barril,6,"(0, 1, 0)",1,5
balda,barda,barda,6,"(0, 1, 0)",1,5
banar,banal,banal,5,"(0, 1, 0)",1,5
pléau,préau,préau,6,"(0, 1, 0)",1,5
powpe,poupe,poupe,6,"(0, 1, 0)",1,5
powls,pouls,puls,6,"(0, 1, 0)",1,5
poure,poule,poule,6,"(0, 1, 0)",1,5
poyce,pouce,pouce,6,"(0, 1, 0)",1,5
nacle,nacre,nacre,6,"(0, 1, 0)",1,5
nyope,myope,myope,6,"(0, 1, 0)",1,5
mwfle,mufle,mufle,7,"(0, 1, 0)",1,5
nguet,muet,muet,7,"(0, 1, 0)",1,5
moyem,moyen,moyen,6,"(0, 1, 0)",1,5
barle,balle,balle,6,"(0, 1, 0)",1,5
barai,balai,balai,6,"(0, 1, 0)",1,5
baign,bain,bain,6,"(0, 1, 0)",1,5
bahwt,bahut,bahut,5,"(0, 1, 0)",1,5
bacom,bacon,bacon,5,"(0, 1, 0)",1,5
avrir,avril,avril,7,"(0, 1, 0)",1,5
leste,reste,rester,7,"(0, 1, 0)",1,5
lesta,resta,resta,7,"(0, 1, 0)",1,5
remya,remua,remuer,6,"(0, 1, 0)",1,5
lègne,règne,règne,7,"(0, 1, 0)",1,5
règre,règle,règle,7,"(0, 1, 0)",1,5
pomey,poney,poney,5,"(0, 1, 0)",1,5
porka,polka,polka,6,"(0, 1, 0)",1,5
polal,polar,polar,5,"(0, 1, 0)",1,5
pokel,poker,poker,5,"(0, 1, 0)",1,5
ngazi,nazi,nazi,6,"(0, 1, 0)",1,5
ngaze,naze,naze,6,"(0, 1, 0)",1,5
ngana,nana,nana,6,"(0, 1, 0)",1,5
pruie,pluie,pluie,7,"(0, 1, 0)",1,5
preut,pleut,pleuvoir,6,"(0, 1, 0)",1,5
prate,plate,plate,7,"(0, 1, 0)",1,5
ngoix,noix,noix,5,"(0, 1, 0)",1,5
ngoir,noir,noir,4,"(0, 1, 0)",1,5
moeud,noeud,noeud,5,"(0, 1, 0)",1,5
