Word,Lemma,prs,freq,n_morphemes,Length,Lemma_Zipf_Frequency,Zipf_Frequency
naufragé,naufrage,"(0, 1, 1)",0.76,2,8,3.79,2.74
nauséeux,nausée,"(0, 1, 1)",0.21,2,8,3.32,2.33
morphine,morph,"(0, 1, 1)",7.37,2,8,1.84,3.29
mouchard,mouche,"(0, 1, 1)",4.92,2,8,3.9,2.71
mouchoir,mouche,"(0, 1, 1)",11.53,2,8,3.9,3.42
moulinet,moulin,"(0, 1, 1)",0.5,2,8,4.12,2.67
moulures,moul,"(0, 1, 1)",0.16,2,8,1.7,2.97
tatoueur,tatou,"(0, 1, 1)",0.14,2,8,2.54,2.77
teinture,teindre,"(0, 1, 1)",2.18,2,8,2.93,3.39
témérité,témér,"(0, 1, 1)",0.87,2,8,0.0,2.59
templier,temple,"(0, 1, 1)",0.35,2,8,4.42,2.42
tendeurs,tendre,"(0, 1, 1)",0.04,2,8,4.17,1.91
tentants,tenter,"(0, 1, 1)",3.38,2,8,4.69,1.61
terreuse,terre,"(0, 1, 1)",0.53,2,8,5.33,1.87
thésards,thée,"(0, 1, 1)",0.09,2,8,0.0,1.84
tigresse,tigre,"(0, 1, 1)",1.1,2,8,3.91,2.71
timidité,timide,"(0, 1, 1)",1.75,2,8,4.01,3.33
recoller,colle,"(1, 1, 1)",1.94,3,8,4.21,3.05
antichar,char,"(1, 1, 0)",0.34,2,8,3.98,2.33
antichoc,choc,"(1, 1, 0)",0.04,2,8,4.48,1.59
apparais,parer,"(1, 1, 0)",27.8499999999999,2,8,3.3,2.49
archange,ange,"(1, 1, 0)",0.98,2,8,4.41,3.09
archiduc,duc,"(1, 1, 0)",0.36,2,8,4.59,3.19
tombante,tomber,"(0, 1, 1)",0.44,2,8,4.91,2.44
tondeuse,tondre,"(0, 1, 1)",1.72,2,8,3.03,3.28
tonnelet,tonneau,"(0, 1, 1)",0.43,2,8,3.43,1.92
tonnelle,tonneau,"(0, 1, 1)",0.61,2,8,3.43,2.4
tourelle,tour,"(0, 1, 1)",1.71,2,8,5.37,3.02
traîneau,traîner,"(0, 1, 1)",2.37,2,8,3.83,3.12
traiteur,traiter,"(0, 1, 1)",3.45,2,8,4.55,3.26
navrante,navrer,"(0, 1, 1)",0.09,2,8,1.02,2.33
mollesse,mou,"(0, 1, 1)",0.44,2,8,3.85,2.67
moquerie,moqu,"(0, 1, 1)",1.69,2,8,0.0,2.96
morosité,morose,"(0, 1, 1)",0.07,2,8,3.05,2.78
miroiter,mir,"(0, 1, 1)",0.29,2,8,3.07,2.94
miséreux,misère,"(0, 1, 1)",1.08,2,8,4.24,2.65
modestie,modeste,"(0, 1, 1)",3.96,2,8,4.15,3.38
vacherie,vache,"(0, 1, 1)",0.69,2,8,4.14,2.35
trappeur,trappe,"(0, 1, 1)",1.0,2,8,3.52,2.58
traqueur,traquer,"(0, 1, 1)",0.49,2,8,3.38,2.51
médisant,dire,"(1, 1, 1)",0.24,3,8,5.96,2.21
rabougri,bougre,"(1, 1, 1)",0.25,3,8,2.98,1.97
rebondir,bond,"(1, 1, 1)",2.24,3,8,4.02,3.44
mouvance,mouvoir,"(0, 1, 1)",0.01,2,8,2.95,3.47
moellons,moelle,"(0, 1, 1)",0.01,2,8,3.63,2.67
